,Nom
1505,balbiani
1506,balbinot
1507,balboni
1508,balcar
1509,balcer
1510,balcon
1511,bald
1512,baldamus
1513,baldanza
1514,baldauf
1515,baldauff
1516,baldeck
1517,baldegger
1518,baldelli
1519,baldensperger
1520,baldenweg
1521,baldera
1522,balderer
1523,baldermann
1524,baldesberger
1525,baldessarini
1526,baldi
1527,baldin
1528,baldinger
1529,baldini
1530,baldissera
1531,baldo
1532,baldoria
1533,balducelli
1534,balduchelli
1535,balduf
1536,baldus
1537,baldussi
1538,balduzzi
1539,baldy
1540,balegno
1541,balemi
1542,balen
1543,balerna
1544,balestra
1545,balet
1546,balett
1547,balibouse
1548,balik
1549,balimann
1550,balissat
1551,balitzer
1552,balivet
1553,balkanoff
1554,balke
1555,ball
1556,ballabene
1557,ballabio
1558,ballak
1559,ballaman
1560,ballanche
1561,balland
1562,ballansat
1563,ballard
1564,ballardini
1565,ballarini
1566,ballat
1567,ballauf
1568,ballay
1569,ballenegger
1570,ballerini
1571,ballerstedt
1572,ballesta
1573,ballester
1574,ballestraz
1575,ballet
1576,balleydier
1577,balleys
1578,balli
1579,ballié
1580,ballif
1581,ballifard
1582,ballinari
1583,ballis
1584,ballissat
1585,ballisti
1586,ballmann
1587,ballmer
1588,ballmert
1589,ballo
1590,ballot
1591,balloux
1592,bally
1593,balma
1594,balmas
1595,balmat
1596,balmelli
1597,balmer
1598,balmforth
1599,balmont
1600,balocchi
1601,balogh
1602,balogi
1603,balordi
1604,balossi
1605,balsarini
1606,balscheit
1607,balsenc
1608,balser
1609,balsiger
1610,baltassat
1611,baltenberger
1612,baltensberger
1613,baltensperger
1614,baltensweiler
1615,balter
1616,baltera
1617,baltera-cravetti
1618,baltermi
1619,baltermia
1620,baltesar
1621,balthasar
1622,balthassat
1623,balthazard
1624,baltis
1625,baltisar
1626,baltisberger
1627,baltischweiler
1628,baltischwiler
1629,baltisser
1630,baltiswiler
1631,baltresca
1632,baltzer
1633,baltzinger
1634,balz
1635,balzacchi
1636,balzan
1637,balzani
1638,balzano
1639,balzardi
1640,balzaretti
1641,balzari
1642,balzarini
1643,balzarolo
1644,balzer
1645,balzli
1646,bamat
1647,bamatter
1648,bamberg
1649,bamberger
1650,bambula
1651,bamert
1652,bammatter
1653,bammerlin
1654,bammert
1655,bammler
1656,ban
1657,bana
1658,banat
1659,banchet
1660,banchieri
1661,banchini
1662,banci
1663,bancora
1664,bandau
1665,bandel
1666,bandelier
1667,bandelli
1668,bandera
1669,banderet
1670,bandi
1671,bandinelli
1672,bandini
1673,bandino
1674,bandle
1675,bandli
1676,bandlin
1677,bandollier
1678,bandschapp
1679,banfi
1680,banga
1681,bangard
1682,bange
1683,bangerter
1684,bangueret
1685,banhegyi
1686,banholzer
1687,bani
1688,baniak
1689,banjac
1690,bank
1691,bannert
1692,bannholzer
1693,bannier
1694,bannwart
1695,bannwarth
1696,banowsky
1697,bansac
1698,banscher
1699,bansen
1700,bansi
1701,bantel
1702,bantle
1703,bantlé
1704,bantli
1705,banz
1706,banzan
1707,banzer
1708,banzet
1709,banzhaf
1710,baour
1711,bapperger
1712,bapst
1713,baptista
1714,bar
1715,bara
1716,baracchi
1717,baraga
1718,baragiola
1719,barak
1720,barakat
1721,baraldini
1722,barambon
1723,barana
1724,barandun
1725,baranzelli
1726,baranzini
1727,barassa
1728,barassi
1729,baratella
1730,baratelli
1731,barato
1732,baratte
1733,baratti
1734,baratto
1735,barattolo
1736,baravalle
1737,barazzoni
1738,barazzutti
1739,barba
1740,barbaglia
1741,barbaglini
1742,barbana
1743,barbano
1744,barbara
1745,barbara de leoni
1746,barbara fondini
1747,barbara tini
1748,barbasio
1749,barbatti
1750,barbault
1751,barbaux
1752,barbay
1753,barbaz
1754,barbe
1755,barbé
1756,barbè
1757,barbeau
1758,barben
1759,barber
1760,barberat
1761,barberi
1762,barberini
1763,barberis
1764,barberis-vignola
1765,barbero
1766,barberot
1767,barbettini
1768,barbey
1769,barbezat
1770,barbi
1771,barbier
1772,barbieri
1773,barbiero
1774,barbini
1775,barbisch
1776,barbitta
1777,barblan
1778,barbo
1779,barbonese
1780,barbonesi
1781,barboni
1782,barboni-fosani
1783,barbosa de moraes
1784,barbot
1785,barbotte
1786,barbotti
1787,barbuti
1788,barby
1789,barbüda
1790,barca
1791,barcella
1792,barcellini
1793,barchet
1794,barchi
1795,barchiesi
1796,barchietto
1797,barciaga
1798,bard
1799,barde
1800,bardea
1801,bardecki
1802,bardel
1803,bardelli
1804,bardellini
1805,bardelloni
1806,bardet
1807,bardill
1808,bardin
1809,bardinet
1810,bardola
1811,bardone
1812,bardonneau
1813,bardonnex
1814,bardotto-pasquero
1815,bardy
1816,baredi
1817,bareggi
1818,bareis
1819,bareiss
1820,barel
1821,barell
1822,barella
1823,barelli
1824,barello
1825,barenco
1826,barenholz
1827,barera
1828,bareth
1829,baretta
1830,barfuss
1831,barge
1832,bargehr
1833,bargetto
1834,bargetze
1835,bargetzi
1836,bargheer
1837,bargähr
1838,bari
1839,bariani
1840,bariatti
1841,baric
1842,barich
1843,baridon
1844,bariffi
1845,bariletti
1846,barili
1847,barilier
1848,barillat
1849,barilli
1850,barillier
1851,barillon
1852,barini
1853,barino
1854,barioni
1855,bariselli
1856,barisi
1857,baritsch
1858,barizzi
1859,barjansky
1860,barjon
1861,bark
1862,barlatey
1863,barlie
1864,barlocchi
1865,barloggio
1866,barlogis
1867,barman
1868,barmann
1869,barmasse
1870,barmaverain
1871,barmaz
1872,barmet
1873,barmettler
1874,barnèdes
1875,barnerat
1876,barnes
1877,barni
1878,barnikol
1879,barniske
1880,barny
1881,baroffio
1882,baron
1883,baronchelli
1884,barone
1885,baronetto
1886,baroni
1887,baronio
1888,baros
1889,barosso
1890,barot
1891,baroz
1892,barozzi
1893,barp
1894,barra
1895,barral
1896,barrale
1897,barras
1898,barrat
1899,barraud
1900,barraz
1901,barré
1902,barrelet
1903,barrenscheen
1904,barrer
1905,barrera
1906,barrès
1907,barret
1908,barrié
1909,barrier
1910,barrière
1911,barrillier
1912,barrilliet
1913,barro
1914,barrot
1915,barroud
1916,barrucand
1917,barschat
1918,barsotti
1919,bart
1920,bartarini
1921,bartassat
1922,barteczko
1923,bartel
1924,bartels
1925,bartelt
1926,bartenbach
1927,bartenstein
1928,bartesaghi
1929,barth
1930,barthalos
1931,barthassat
1932,barthe
1933,barthel
1934,barthell
1935,barthelts
1936,barthlome
1937,barthly
1938,bartholdi
1939,bartholet
1940,bartholmé
1941,bartholmess
1942,bartholomä
1943,bartholomäi
1944,barthoulot
1945,bartl
1946,bartlin
1947,bartlome
1948,bartmann
1949,bartocha
1950,bartok
1951,bartolamai
1952,bartoletti
1953,bartoli
1954,bartolini
1955,bartolomai
1956,bartolomay
1957,bartolucci
1958,barton
1959,bartoni
1960,bartonicek
1961,bartosch
1962,bartré
1963,bartsch
1964,baruch
1965,baruchet
1966,baruffaldi
1967,baruffi
1968,baruffol
1969,barun
1970,baruscotti
1971,baruselli
1972,barut
1973,barwirsch
1974,barz
1975,barzaghi
1976,barzaghini
1977,barzagli
1978,barzé
1979,barzotto
1980,bas
1981,basan
1982,basarab
1983,baschenis
1984,baschera
